iter	Logloss
0	0.6751043798
1	0.6581235998
2	0.6431996705
3	0.6327145439
4	0.6192615991
5	0.60663391
6	0.5949435851
7	0.5835818811
8	0.5759322749
9	0.5658114303
10	0.5585743075
11	0.5509222853
12	0.543681475
13	0.5361442893
14	0.5285026109
15	0.5222092742
16	0.5177133258
17	0.5135445736
18	0.5090345512
19	0.5052586845
20	0.5014464195
21	0.4964151163
22	0.4925050183
23	0.4861177449
24	0.4822873069
25	0.4782585934
26	0.474325937
27	0.4707297835
28	0.4684474155
29	0.4662935738
30	0.4636708992
31	0.4601723496
32	0.457922705
33	0.4551922087
34	0.453534429
35	0.4520773317
36	0.4492438237
37	0.4473868687
38	0.4449241132
39	0.4426114017
40	0.4412073983
41	0.4393006032
42	0.4369412439
43	0.4354737712
44	0.4338500819
45	0.4323871846
46	0.4310588604
47	0.4305155377
48	0.429576158
49	0.4282905755
50	0.4275570302
51	0.4256671824
52	0.4247265919
53	0.4234727621
54	0.422021597
55	0.4209380401
56	0.4203984038
57	0.4195996984
58	0.4182228548
59	0.4173380742
60	0.4166105757
61	0.415656363
62	0.4149944265
63	0.4135069182
64	0.412710929
65	0.4123562773
66	0.4115563433
67	0.4108107059
68	0.4104819785
69	0.4093055519
70	0.4087421876
71	0.4081775191
72	0.4076838013
73	0.407095989
74	0.4063757245
75	0.4058042717
76	0.4050169934
77	0.4046487102
78	0.4044197626
79	0.404161566
80	0.4030996109
81	0.4020015591
82	0.401676818
83	0.4013816191
84	0.4012177625
85	0.4009454075
86	0.4003831494
87	0.3997585475
88	0.3995842514
89	0.3990751763
90	0.3984471382
91	0.3982528371
92	0.3979409521
93	0.3974840417
94	0.3971241996
95	0.396987554
96	0.3967912385
97	0.3962677028
98	0.3960038723
99	0.3957701977
100	0.3954026648
101	0.3953246684
102	0.3948965471
103	0.3946212453
104	0.3943289869
105	0.3942920936
106	0.3940134311
107	0.3937232554
108	0.3935760531
109	0.3931798698
110	0.3929246425
111	0.3925286987
112	0.3922197911
113	0.3920627246
114	0.3916661946
115	0.3915474095
116	0.3912643958
117	0.3912632344
118	0.3911656107
119	0.3908677282
120	0.3907123933
121	0.3903991575
122	0.3900103778
123	0.389755458
124	0.3896542896
125	0.3895381822
126	0.3892173653
127	0.3890431093
128	0.3889289284
129	0.3886965144
130	0.388549947
131	0.3883956219
132	0.3880463548
133	0.3878556641
134	0.3872503251
135	0.3870845267
136	0.3868378449
137	0.386664583
138	0.3864862605
139	0.386209996
140	0.3858697535
141	0.3856491912
142	0.385245736
143	0.3852113952
144	0.384787648
145	0.3845953744
146	0.3842897581
147	0.383938071
148	0.383654288
149	0.3835670384
150	0.3835145753
151	0.3831871185
152	0.3829938417
153	0.3829938195
154	0.382781588
155	0.3825565914
156	0.3822544667
157	0.382165673
158	0.3820121577
159	0.3817827034
160	0.3817261199
161	0.3813975777
162	0.3812689131
163	0.3811466873
164	0.3808653351
165	0.3806730529
166	0.3806182421
167	0.3803422195
168	0.3801868793
169	0.3801730725
170	0.3800578939
171	0.3800257965
172	0.3796870117
173	0.3796259768
174	0.3795268768
175	0.3792234548
176	0.3790596196
177	0.3788924976
178	0.3788015191
179	0.3786112776
180	0.3785564481
181	0.3781539307
182	0.3779936449
183	0.377908524
184	0.3779039112
185	0.3776769637
186	0.3774406706
187	0.3771368409
188	0.3770605954
189	0.3767828959
190	0.3766711476
191	0.3761887196
192	0.3759785817
193	0.3757755336
194	0.3757026176
195	0.3756225708
196	0.3753995372
197	0.3750589216
198	0.374771055
199	0.3746606385
200	0.3744136407
201	0.3742718735
202	0.373905956
203	0.3737014541
204	0.3734873704
205	0.3732922519
206	0.373053767
207	0.3725999756
208	0.3723995155
209	0.3722442128
210	0.3719573592
211	0.3718269445
212	0.3716564333
213	0.3715939164
214	0.3710004967
215	0.3706713792
216	0.3706512081
217	0.3702884534
218	0.3698934885
219	0.3698297168
220	0.3697559886
221	0.3696427897
222	0.3694466903
223	0.3693048374
224	0.369218775
225	0.3690140971
226	0.3690107122
227	0.3689144218
228	0.3688655547
229	0.3686260441
230	0.3684700464
231	0.3683105343
232	0.3682405981
233	0.3678342506
234	0.3677005786
235	0.3675640791
236	0.3673350341
237	0.3670461477
238	0.3665350581
239	0.3659941011
240	0.3657417147
241	0.3656552488
242	0.3655000534
243	0.3653398811
244	0.3653050945
245	0.3652612641
246	0.3651625067
247	0.3648776892
248	0.3647602106
249	0.364659534
250	0.3645354585
251	0.3644965422
252	0.3644270952
253	0.3643775197
254	0.3642313447
255	0.3640586511
256	0.3639795746
257	0.3637477455
258	0.3635560745
259	0.363486627
260	0.3633165298
261	0.3631681661
262	0.3630896176
263	0.3630503413
264	0.3630192388
265	0.3629594157
266	0.3629193685
267	0.3626358218
268	0.3625398059
269	0.3622205755
270	0.3620900622
271	0.3619968238
272	0.3618233169
273	0.361798582
274	0.3616915446
275	0.361606341
276	0.3613075419
277	0.361194754
278	0.3608843195
279	0.360818382
280	0.360367292
281	0.3602966561
282	0.3602192918
283	0.3598040321
284	0.3596306591
285	0.3596142674
286	0.3595393479
287	0.3593114882
288	0.3592415925
289	0.3591993538
290	0.3591006204
291	0.3585183437
292	0.3583927883
293	0.3583271311
294	0.3580277038
295	0.3579754351
296	0.357508654
297	0.3574613917
298	0.3572698283
299	0.3572056746
